date	year	month	eR_Market
1984-10	1984	10	-.00845145
1984-11	1984	11	-.0176269
1984-12	1984	12	.01811787
1985-01	1985	01	.07629846
1985-02	1985	02	.01205667
1985-03	1985	03	-.00838328
1985-04	1985	04	-.00957709
1985-05	1985	05	.04932932
1985-06	1985	06	.01264964
1985-07	1985	07	-.00738158
1985-08	1985	08	-.01019601
1985-09	1985	09	-.04617926
1985-10	1985	10	.03916339
1985-11	1985	11	.06241795
1985-12	1985	12	.03782496
1986-01	1986	01	.006443
1986-02	1986	02	.06852192
1986-03	1986	03	.0473691
1986-04	1986	04	-.0131179
1986-05	1986	05	.0449492
1986-06	1986	06	.01029304
1986-07	1986	07	-.06631752
1986-08	1986	08	.058667
1986-09	1986	09	-.08950329
1986-10	1986	10	.04534292
1986-11	1986	11	.01158716
1986-12	1986	12	-.03308177
1987-01	1987	01	.11696392
1987-02	1987	02	.04278362
1987-03	1987	03	.01619149
1987-04	1987	04	-.02112967
1987-05	1987	05	.00099572
1987-06	1987	06	.03846253
1987-07	1987	07	.0376076
1987-08	1987	08	.03443557
1987-09	1987	09	-.0261222
1987-10	1987	10	-.2626824
1987-11	1987	11	-.08059094
1987-12	1987	12	.06572693
1988-01	1988	01	.04121677
1988-02	1988	02	.04619871
1988-03	1988	03	-.02285986
1988-04	1988	04	.00555888
1988-05	1988	05	-.00288946
1988-06	1988	06	.04656525
1988-07	1988	07	-.01251455
1988-08	1988	08	-.03345943
1988-09	1988	09	.03227033
1988-10	1988	10	.01136544
1988-11	1988	11	-.02303346
1988-12	1988	12	.01469817
1989-01	1989	01	.05889733
1989-02	1989	02	-.02261744
1989-03	1989	03	.01547515
1989-04	1989	04	.04211251
1989-05	1989	05	.032697
1989-06	1989	06	-.01349548
1989-07	1989	07	.06905907
1989-08	1989	08	.01419302
1989-09	1989	09	-.00757957
1989-10	1989	10	-.03723619
1989-11	1989	11	.01007914
1989-12	1989	12	.01146371
1990-01	1990	01	-.0812698
1990-02	1990	02	.01097663
1990-03	1990	03	.01802028
1990-04	1990	04	-.03393922
1990-05	1990	05	.08031773
1990-06	1990	06	-.01099132
1990-07	1990	07	-.01905202
1990-08	1990	08	-.10628816
1990-09	1990	09	-.06276409
1990-10	1990	10	-.01925451
1990-11	1990	11	.06113336
1990-12	1990	12	.02415908
1991-01	1991	01	.04560164
1991-02	1991	02	.06901941
1991-03	1991	03	.02604186
1991-04	1991	04	-.00268938
1991-05	1991	05	.0356849
1991-06	1991	06	-.05054933
1991-07	1991	07	.04132739
1991-08	1991	08	.02283114
1991-09	1991	09	-.01595378
1991-10	1991	10	.01276424
1991-11	1991	11	-.0425293
1991-12	1991	12	.10245732
1992-01	1992	01	-.00589736
1992-02	1992	02	.01081092
1992-03	1992	03	-.02686759
1992-04	1992	04	.01070802
1992-05	1992	05	.00298716
1992-06	1992	06	-.0236017
1992-07	1992	07	.03689444
1992-08	1992	08	-.02402457
1992-09	1992	09	.01179925
1992-10	1992	10	.01002639
1992-11	1992	11	.04037892
1992-12	1992	12	.01514206
1993-01	1993	01	.00933472
1993-02	1993	02	.00129631
1993-03	1993	03	.02278093
1993-04	1993	04	-.03089948
1993-05	1993	05	.02833162
1993-06	1993	06	.0030875
1993-07	1993	07	-.00339763
1993-08	1993	08	.03643533
1993-09	1993	09	-.00119761
1993-10	1993	10	.013971
1993-11	1993	11	-.01903285
1993-12	1993	12	.01622995
1994-01	1994	01	.02822629
1994-02	1994	02	-.02577592
1994-03	1994	03	-.04884502
1994-04	1994	04	.0067588
1994-05	1994	05	.00566574
1994-06	1994	06	-.03067197
1994-07	1994	07	.02763612
1994-08	1994	08	.03917473
1994-09	1994	09	-.02328382
1994-10	1994	10	.01326096
1994-11	1994	11	-.04108356
1994-12	1994	12	.00862459
1995-01	1995	01	.01766813
1995-02	1995	02	.03542098
1995-03	1995	03	.02156551
1995-04	1995	04	.02088746
1995-05	1995	05	.02843608
1995-06	1995	06	.02671277
1995-07	1995	07	.03636409
1995-08	1995	08	.00545934
1995-09	1995	09	.03281231
1995-10	1995	10	-.0152445
1995-11	1995	11	.03858089
1995-12	1995	12	.0101976
1996-01	1996	01	.02225377
1996-02	1996	02	.01316134
1996-03	1996	03	.00724533
1996-04	1996	04	.02029826
1996-05	1996	05	.02332668
1996-06	1996	06	-.01141954
1996-07	1996	07	-.06127192
1996-08	1996	08	.02721323
1996-09	1996	09	.04867638
1996-10	1996	10	.0086263
1996-11	1996	11	.0603844
1996-12	1996	12	-.01706697
1997-01	1997	01	.04848198
1997-02	1997	02	-.00489292
1997-03	1997	03	-.05138239
1997-04	1997	04	.03943898
1997-05	1997	05	.06491784
1997-06	1997	06	.04003659
1997-07	1997	07	.07044556
1997-08	1997	08	-.04220894
1997-09	1997	09	.05189546
1997-10	1997	10	-.03847214
1997-11	1997	11	.02934892
1997-12	1997	12	.0130514
1998-01	1998	01	.00139303
1998-02	1998	02	.06768378
1998-03	1998	03	.0464204
1998-04	1998	04	.00724246
1998-05	1998	05	-.0309522
1998-06	1998	06	.031179
1998-07	1998	07	-.02480716
1998-08	1998	08	-.17448615
1998-09	1998	09	.05941768
1998-10	1998	10	.06866055
1998-11	1998	11	.05894019
1998-12	1998	12	.05946365
1999-01	1999	01	.03428347
1999-02	1999	02	-.04150733
1999-03	1999	03	.03377542
1999-04	1999	04	.04233127
1999-05	1999	05	-.02482218
1999-06	1999	06	.04641588
1999-07	1999	07	-.03518027
1999-08	1999	08	-.01384175
1999-09	1999	09	-.02839005
1999-10	1999	10	.05927016
1999-11	1999	11	.03302765
1999-12	1999	12	.07405108
2000-01	2000	01	-.04825252
2000-02	2000	02	.02410229
2000-03	2000	03	.05046185
2000-04	2000	04	-.06582676
2000-05	2000	05	-.04508063
2000-06	2000	06	.04517902
2000-07	2000	07	-.02468515
2000-08	2000	08	.0686346
2000-09	2000	09	-.05564377
2000-10	2000	10	-.02793224
2000-11	2000	11	-.11289498
2000-12	2000	12	.01177124
2001-01	2001	01	.03056065
2001-02	2001	02	-.1058144
2001-03	2001	03	-.07513475
2001-04	2001	04	.07621183
2001-05	2001	05	.00725037
2001-06	2001	06	-.01943373
2001-07	2001	07	-.02146503
2001-08	2001	08	-.06656763
2001-09	2001	09	-.09688702
2001-10	2001	10	.02434697
2001-11	2001	11	.07257369
2001-12	2001	12	.01584976
2002-01	2002	01	-.01448426
2002-02	2002	02	-.02313585
2002-03	2002	03	.04147294
2002-04	2002	04	-.05331862
2002-05	2002	05	-.01387654
2002-06	2002	06	-.07473043
2002-07	2002	07	-.08520663
2002-08	2002	08	.00498059
2002-09	2002	09	-.1090956
2002-10	2002	10	.0752842
2002-11	2002	11	.05782406
2002-12	2002	12	-.05925831
2003-01	2003	01	-.02600966
2003-02	2003	02	-.01906357
2003-03	2003	03	.01083025
2003-04	2003	04	.07892013
2003-05	2003	05	.0586892
2003-06	2003	06	.01408614
2003-07	2003	07	.02311442
2003-08	2003	08	.02311442
2003-09	2003	09	-.01236632
2003-10	2003	10	.05898325
2003-11	2003	11	.01340037
2003-12	2003	12	.04206822
2004-01	2004	01	.02125741
2004-02	2004	02	.01389463
2004-03	2004	03	-.01337712
2004-04	2004	04	-.01845462
2004-05	2004	05	.01172393
2004-06	2004	06	.01841454
2004-07	2004	07	-.04150905
2004-08	2004	08	.0007988
2004-09	2004	09	.01595436
2004-10	2004	10	.01418323
2004-11	2004	11	.04433454
2004-12	2004	12	.03367189
2005-01	2005	01	-.02784003
2005-02	2005	02	.01869398
2005-03	2005	03	-.01975273
2005-04	2005	04	-.02639049
2005-05	2005	05	.03576534
2005-06	2005	06	.0055716
2005-07	2005	07	.03836087
2005-08	2005	08	-.01223809
2005-09	2005	09	.0047747
2005-10	2005	10	-.02014776
2005-11	2005	11	.0354522
2005-12	2005	12	-.00249514
2006-01	2006	01	.02984417
2006-02	2006	02	-.00299431
2006-03	2006	03	.0144414
2006-04	2006	04	.00714856
2006-05	2006	05	-.03619433
2006-06	2006	06	-.00349215
2006-07	2006	07	-.00779926
2006-08	2006	08	.02001348
2006-09	2006	09	.01815899
2006-10	2006	10	.03166155
2006-11	2006	11	.01688512
2006-12	2006	12	.00862801
2007-01	2007	01	.01394061
2007-02	2007	02	-.01961735
2007-03	2007	03	.00674807
2007-04	2007	04	.03415706
2007-05	2007	05	.03175804
2007-06	2007	06	-.01971498
2007-07	2007	07	-.03796254
2007-08	2007	08	.00911981
2007-09	2007	09	.03168951
2007-10	2007	10	.01778351
2007-11	2007	11	-.04922877
2007-12	2007	12	-.00861384
2008-01	2008	01	-.06546367
2008-02	2008	02	-.03134608
2008-03	2008	03	-.00942835
2008-04	2008	04	.04489434
2008-05	2008	05	.01839632
2008-06	2008	06	-.08801926
2008-07	2008	07	-.00771818
2008-08	2008	08	.01516457
2008-09	2008	09	-.09679906
2008-10	2008	10	-.18893812
2008-11	2008	11	-.08183544
2008-12	2008	12	.01644904
2009-01	2009	01	-.08468681
2009-02	2009	02	-.10634979
2009-03	2009	03	.08570245
2009-04	2009	04	.09702671
2009-05	2009	05	.05078817
2009-06	2009	06	.00429035
2009-07	2009	07	.07435792
2009-08	2009	08	.03265757
2009-09	2009	09	.03998573
2009-10	2009	10	-.02624131
2009-11	2009	11	.05410933
2009-12	2009	12	.02712599
2010-01	2010	01	-.03417745
2010-02	2010	02	.03343478
2010-03	2010	03	.06127729
2010-04	2010	04	.01980263
2010-05	2010	05	-.0821781
2010-06	2010	06	-.05719958
2010-07	2010	07	.06690424
2010-08	2010	08	-.04887016
